deal_id,company_name,industry,lead_source,deal_value,stage,created_date,close_date,sales_rep,region,next_step,probability,sales_cycle_days
DEAL-0382,Dugar PLC,E-Commerce,Referral,196753.32,Negotiation,2022-06-11,2022-09-24,Priya Nair,North,Pricing Discussion,70,105.0
DEAL-0236,Mahajan-Bhatia,FinTech,Referral,21486.27,Closed Won,2022-03-11,2022-07-23,Aman Verma,West,,50,134.0
DEAL-0258,Chawla-Thakkar,IT Services,Referral,215097.6,Proposal Sent,2023-03-18,2023-08-14,Karan Mehta,South,Stakeholder Meeting,30,149.0
DEAL-0339,Amble-Bedi,SaaS,Partner,138042.52,Closed Won,2023-08-07,2023-10-15,Priya Nair,West,Pricing Discussion,80,69.0
DEAL-0320,Johal-Sodhi,Real Estate,Inbound,156846.31,Closed Lost,2022-11-18,2023-03-12,Sonal Joshi,North,Stakeholder Meeting,90,114.0
DEAL-0212,Bhatti-Chakrabarti,Healthcare,Partner,176594.3,Closed Won,2023-02-13,2023-12-07,Aman Verma,North,Pricing Discussion,90,297.0
DEAL-0368,Ahluwalia-Nadig,Healthcare,Linkedin,90178.57416666667,Closed Won,2023-09-29,2024-03-16,Arjun Pillai,South,Follow Up Call,40,169.0
DEAL-0177,"Nath, Bhasin and Kakar",IT Services,Website,121976.25,Discovery,2022-06-15,2022-07-24,Neha Gupta,South,Follow Up Call,10,39.0
DEAL-0336,Bhattacharyya and Sons,Retail,Event,174610.49,Discovery,2022-08-29,2022-10-30,Deepak Rao,South,Schedule Demo,20,62.0
DEAL-0257,Sahota Group,Real Estate,Cold Email,64037.21,Closed Lost,2023-11-06,2024-03-14,Priya Nair,South,Send Proposal,60,129.0
DEAL-0315,Sabharwal Ltd,EdTech,Partner,136255.84,Discovery,2022-08-11,2022-12-15,Neha Gupta,West,Pricing Discussion,60,126.0
DEAL-0166,Buch Ltd,FinTech,Cold Outreach,25041.47,Proposal Sent,2022-07-02,2022-12-08,Deepak Rao,North,Follow Up Call,40,159.0
DEAL-0481,Chaudhry Group,E-Commerce,Inbound,126351.77,Negotiation,2022-08-22,2022-09-24,Riya Sharma,West,Technical Eval,70,33.0
DEAL-0079,Hegde-Parikh,SaaS,Inbound,93818.33,Prospecting,2022-03-08,2022-11-08,Deepak Rao,West,Schedule Demo,40,245.0
DEAL-0376,"Nagar, Tailor and Kata",Real Estate,Website,142086.45,Closed Won,2022-05-16,2022-10-14,Priya Nair,West,Send Proposal,90,151.0
