deal_id,company_name,industry,lead_source,deal_value,stage,created_date,close_date,sales_rep,region,next_step,probability
DEAL-0382,Dugar PLC,E-Commerce,Referral,196753.32,Negotiation,11 Jun 2022,24/09/2022,Priya Nair,north,Pricing Discussion,70
DEAL-0236,Mahajan-Bhatia,FinTech,REFERRAL,21486.27,Closed Won,11 Mar 2022,07-23-2022,Aman Verma,west,,50
DEAL-0258,Chawla-Thakkar,IT Services,REFERRAL,215097.6,Proposal Sent,03-18-2023,2023-08-14,Karan Mehta,SOUTH,Stakeholder Meeting,30
DEAL-0339,Amble-Bedi,SaaS,Partner,138042.52,wonnn,07 Aug 2023,15 Oct 2023,Priya Nair,WEST,Pricing Discussion,80
DEAL-0320,Johal-Sodhi,Real Estate,Inbound,156846.31,lost,"November 18, 2022",12 Mar 2023,Sonal Joshi,North,Stakeholder Meeting,90
DEAL-0212,Bhatti-Chakrabarti,Healthcare,Partner,176594.3,Won,13/02/2023,2023-07-12,Aman Verma,NORTH,Pricing Discussion,90
DEAL-0368,Ahluwalia-Nadig,Healthcare,linkedin,,won,"September 29, 2023",2024-03-16,Arjun Pillai,South,Follow Up Call,40
DEAL-0177,"Nath, Bhasin and Kakar",IT Services,Website,121976.25,Discovery,15/06/2022,2022-07-24,Neha Gupta,SOUTH,Follow Up Call,10
DEAL-0336,Bhattacharyya and Sons,Retail,Event,174610.49,discovery,08-29-2022,2022-10-30,Deepak Rao,SOUTH,Schedule Demo,20
DEAL-0257,Sahota Group,Real Estate,Cold Email,64037.21,Closed Lost,"November 06, 2023",14 Mar 2024,Priya Nair,south,Send Proposal,60
DEAL-0315,Sabharwal Ltd,EdTech,Partner,136255.84,discovery,11 Aug 2022,15 Dec 2022,Neha Gupta,West,Pricing Discussion,60
DEAL-0166,Buch Ltd,FinTech,Cold Outreach,-25041.47,Proposal Sent,"July 02, 2022",08/12/2022,Deepak Rao,north,Follow Up Call,40
DEAL-0481,Chaudhry Group,E-Commerce,inbound,126351.77,Negotiation,2022-08-22,"September 24, 2022",Riya Sharma,west,Technical Eval,70
DEAL-0079,Hegde-Parikh,SaaS,Inbound,93818.33,Prospecting,2022-08-03,08 Nov 2022,Deepak Rao,west,Schedule Demo,40
DEAL-0376,"Nagar, Tailor and Kata",Real Estate,Website,142086.45,Closed Won,2022-05-16,14 Oct 2022,Priya Nair,west,Send Proposal,90
DEAL-0412,"Krishna, Chopra and Char",EdTech,REFERRAL,107483.67,Closed Lost,16 May 2023,11-04-2023,Neha Gupta,South,Stakeholder Meeting,30
DEAL-0444,Bumb-Gala,E-Commerce,cold outreach,159291.28,NEGOTIATION,"February 12, 2022",05-13-2022,Priya Nair,West,Pricing Discussion,60
DEAL-0617,Som Ltd,E-Commerce,linkedin,8010.58,qualified,21 Feb 2022,"July 13, 2022",Arjun Pillai,north,Pricing Discussion,30
DEAL-0241,Sura-Rai,EdTech,cold outreach,195135.59,closed won,2022-09-01,06/10/2022,Riya Sharma,East,Technical Eval,70
DEAL-0537,Raman-Jayaraman,SaaS,cold outreach,163983.25,NEGOTIATION,04/06/2023,07/11/2023,Sonal Joshi,North,Stakeholder Meeting,30
DEAL-0543,Behl Inc,Healthcare,linkedin,24094.99,Prospecting,15/12/2023,"January 07, 2024",Riya Sharma,East India,,50
DEAL-0337,"Sethi, Nadkarni and Sarin",Real Estate,LinkedIn,71418.29,prospecting,18/02/2023,,Priya Nair,NORTH,Pricing Discussion,50
DEAL-0291,"Kalla, Raval and Deep",Retail,Event,77322.11,QUALIFIED,"April 06, 2022",11/07/2022,Riya Sharma,WEST,,10
DEAL-0413,Dara PLC,Real Estate,LinkedIn,,Won,2022-09-15,10-18-2022,Arjun Pillai,South,Contract Review,100
DEAL-0630,Hari-Rana,IT Services,REFERRAL,219862.85,NEGOTIATION,20 Sep 2023,,Priya Nair,north,,50
DEAL-0330,"Bhakta, Jaggi and Nayar",E-Commerce,Inbound,161003.28,prospecting,24/03/2022,2022-07-28,Neha Gupta,WEST,,80
DEAL-0251,Bava LLC,Real Estate,LinkedIn,141183.41,NEGOTIATION,"September 06, 2022",12-22-2022,Riya Sharma,East India,Send Proposal,80
DEAL-0055,Zachariah and Sons,Real Estate,inbound,89615.79,Lost,20 Jul 2023,2023-12-30,Arjun Pillai,WEST,Stakeholder Meeting,20
DEAL-0465,"Chaudhry, Gola and Zacharia",EdTech,Website,108644.5,qualified,07 Dec 2022,,Aman Verma,North,,80
DEAL-0421,"Sule, Sharaf and Bali",Manufacturing,cold outreach,200076.61,prospecting,12-08-2022,,Sonal Joshi,South,Contract Review,90
DEAL-0134,Pandey-Dutta,SaaS,REFERRAL,,prospecting,2022-02-18,2022-07-19,Priya Nair,west,,10
DEAL-0387,Bhat-Bains,EdTech,Cold Outreach,211195.28,Proposal Sent,19/09/2023,02-18-2024,Arjun Pillai,East India,Contract Review,100
DEAL-0137,"Sachdev, Gokhale and Dhillon",Manufacturing,linkedin,57426.77,WON,05 Oct 2023,15 Mar 2024,Karan Mehta,East India,Schedule Demo,80
DEAL-0110,"Doctor, Oza and Choudhry",IT Services,Cold Email,51742.16,discovery,2022-11-19,,Sonal Joshi,NORTH,,50
DEAL-0363,Mitter-Madan,Retail,LinkedIn,42797.84,Proposal Sent,14 Apr 2023,"May 21, 2023",Aman Verma,West,Follow Up Call,10
DEAL-0236,Mahajan-Bhatia,FinTech,REFERRAL,21486.27,Closed Won,11 Mar 2022,07-23-2022,Aman Verma,west,,50
DEAL-0213,"Purohit, Savant and Dutta",Real Estate,REFERRAL,19762.63,negotiation,"November 19, 2023",2024-02-19,Karan Mehta,SOUTH,Contract Review,60
DEAL-0345,Chaudhary-Basu,IT Services,Website,143840.5,QUALIFIED,03-25-2022,"May 18, 2022",Riya Sharma,North,,50
DEAL-0245,Dora-Peri,Retail,Cold Email,205503.71,Qualified,"August 08, 2022",2022-09-01,Deepak Rao,SOUTH,Contract Review,100
DEAL-0133,Kamdar-Bir,Real Estate,linkedin,40886.65,Closed Lost,04/04/2022,"May 24, 2022",Arjun Pillai,west,,90
DEAL-0250,Soman-Oza,Healthcare,inbound,47907.63,Negotiation,2023-04-30,30 May 2023,Deepak Rao,South,Technical Eval,20
DEAL-0073,Edwin-Loke,Logistics,Event,169767.55,Closed Lost,2023-04-10,08-13-2023,Priya Nair,East India,Send Proposal,30
DEAL-0357,"Muni, Karan and Deshmukh",Healthcare,Event,140494.24,won,29/09/2022,20 Oct 2022,Sonal Joshi,South,Pricing Discussion,30
DEAL-0584,Swaminathan and Sons,Real Estate,Cold Email,179594.12,PROPOSAL SENT,29/08/2022,2022-12-09,Karan Mehta,East,Schedule Demo,60
